식품명,평균잔반량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),비타민 C(mg),비타민 D(μg)
닭다리조림,19,179,14,8.87,9.13,3.22,1.6,23,0.66,151,305,153,95,1.28,0
닭볶음,51.46188341,137,14.7,3.01,12.63,3.65,1.5,22,0.91,86,326,270,55,3.81,0
닭죽,279.1666667,135,6.6,4.78,15.17,0.85,0.9,12,0.56,73,87,453,18,0.59,0
닭튀김,24,301,21.73,16.57,16.27,0.5,1.5,13,0,249,316,415,11,5.63,
돌나물무침,57.625,41,1.4,0.53,8.81,4.48,1.1,135,0.65,25,168,127,75,71.43,0
돼지갈비찜,54.46837945,142,10.3,8.01,6.28,2.34,0.7,10,0.56,111,241,228,19,2.86,0.08
돼지고기볶음,23.99501247,175,11.48,10.33,9.11,4.1,1.5,22,0.01,103,284,526,54,0.37,
된장찌개,96.63636364,46,3.6,1.2,5.63,1.02,2.1,52,0.68,69,204,341,8,5.53,0.02
두부김치,43.77777778,115,7.79,6.85,5.63,0.59,4.2,99,0,125,223,396,31,1.14,
두부조림,25,133,9.39,6.87,8.15,1.7,3.2,64,1.58,158,183,279,9,0.61,0
